ReportDate,DHBName,Confirmed,Probable,Deceased
2020-02-26,Auckland,1,0,0
2020-03-16,Auckland,1,0,0
2020-03-17,Auckland,2,0,0
2020-03-18,Auckland,1,0,0
2020-03-19,Auckland,2,2,0
2020-03-20,Auckland,1,0,0
2020-03-21,Auckland,4,0,0
2020-03-22,Auckland,7,1,0
2020-03-23,Auckland,7,0,0
2020-03-24,Auckland,7,0,0
2020-03-25,Auckland,11,0,0
2020-03-26,Auckland,11,1,0
2020-03-27,Auckland,6,1,0
2020-03-28,Auckland,13,2,0
2020-03-29,Auckland,8,1,0
2020-03-30,Auckland,2,1,0
2020-03-31,Auckland,4,4,0
2020-04-01,Auckland,3,1,0
2020-04-02,Auckland,3,0,0
2020-04-03,Auckland,1,2,0
2020-04-04,Auckland,5,4,0
2020-04-05,Auckland,4,5,0
2020-04-06,Auckland,3,3,0
2020-04-07,Auckland,1,1,0
2020-04-08,Auckland,3,1,0
2020-04-09,Auckland,8,3,0
2020-04-10,Auckland,0,4,0
2020-04-11,Auckland,1,2,0
2020-04-12,Auckland,0,3,0
2020-04-13,Auckland,0,1,0
2020-04-14,Auckland,0,1,0
2020-04-16,Auckland,1,1,0
2020-04-17,Auckland,0,1,0
2020-04-18,Auckland,0,1,0
2020-04-21,Auckland,0,1,0
2020-04-25,Auckland,0,1,0
2020-04-30,Auckland,2,0,0
2020-05-01,Auckland,1,1,0
2020-05-05,Auckland,0,1,0
2020-05-22,Auckland,1,0,0
2020-06-19,Auckland,2,0,0
2020-06-20,Auckland,1,0,0
2020-06-21,Auckland,2,0,0
2020-06-22,Auckland,1,0,0
2020-06-23,Auckland,1,0,0
2020-06-25,Auckland,1,0,0
2020-06-26,Auckland,1,0,0
2020-06-27,Auckland,4,0,0
2020-06-28,Auckland,1,0,0
2020-07-01,Auckland,1,0,0
2020-07-07,Auckland,2,0,0
2020-07-08,Auckland,1,0,0
2020-07-19,Auckland,1,0,0
2020-07-20,Auckland,1,0,0
2020-08-01,Auckland,1,0,0
2020-08-04,Auckland,1,0,0
2020-08-11,Auckland,1,0,0
2020-08-12,Auckland,1,0,0
2020-08-13,Auckland,3,0,1
2020-08-14,Auckland,4,0,0
2020-08-15,Auckland,5,0,0
2020-08-16,Auckland,8,0,0
2020-08-17,Auckland,3,0,0
2020-08-18,Auckland,5,0,0
2020-08-20,Auckland,1,0,0
2020-08-21,Auckland,1,0,0
2020-08-22,Auckland,1,0,0
2020-08-23,Auckland,2,0,0
2020-08-24,Auckland,3,0,0
2020-08-26,Auckland,3,0,0
2020-08-28,Auckland,10,0,0
2020-08-29,Auckland,1,0,0
2020-08-30,Auckland,3,0,0
2020-09-02,Auckland,2,0,0
2020-09-04,Auckland,1,0,0
2020-09-05,Auckland,2,0,0
2020-09-08,Auckland,2,0,0
2020-09-10,Auckland,1,0,0
2020-09-16,Auckland,4,0,0
2020-09-18,Auckland,2,0,0
2020-09-19,Auckland,1,0,0
2020-09-22,Auckland,3,0,0
2020-09-23,Auckland,1,0,0
2020-09-24,Auckland,1,0,0
2020-09-25,Auckland,1,0,0
2020-09-26,Auckland,2,0,0
2020-09-28,Auckland,1,0,0
2020-09-30,Auckland,4,0,0
2020-10-01,Auckland,6,0,0
2020-10-03,Auckland,1,0,0
2020-10-04,Auckland,1,0,0
2020-10-05,Auckland,1,0,0
2020-10-07,Auckland,1,0,0
2020-10-08,Auckland,2,0,0
2020-10-15,Auckland,3,0,0
2020-10-17,Auckland,2,0,0
2020-10-19,Auckland,1,0,0
2020-10-20,Auckland,1,0,0
2020-10-23,Auckland,4,0,0
2020-10-25,Auckland,1,0,0
2020-10-27,Auckland,2,0,0
2020-10-28,Auckland,5,0,0
2020-10-30,Auckland,1,0,0
2020-10-31,Auckland,2,0,0
2020-11-01,Auckland,1,0,0
2020-11-04,Auckland,2,0,0
2020-11-05,Auckland,1,0,0
2020-11-06,Auckland,1,0,0
2020-11-07,Auckland,4,0,0
2020-11-08,Auckland,1,0,0
2020-11-09,Auckland,2,0,0
2020-11-12,Auckland,3,0,0
2020-11-13,Auckland,1,0,0
2020-11-18,Auckland,4,0,0
2020-11-20,Auckland,2,0,0
2020-11-21,Auckland,3,0,0
2020-11-23,Auckland,2,0,0
2020-11-25,Auckland,1,0,0
2020-11-26,Auckland,1,0,0
2020-11-27,Auckland,1,0,0
2020-11-28,Auckland,2,0,0
2020-11-30,Auckland,1,0,0
2020-12-02,Auckland,1,0,0
2020-12-03,Auckland,2,0,0
2020-12-04,Auckland,5,0,0
2020-12-07,Auckland,2,0,0
2020-12-09,Auckland,1,0,0
2020-12-11,Auckland,1,0,0
